ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal;Host country
32777;Maria Epple (-Beck);F;16;167;58;Allemagne de l'Est;FRG;1976 Winter;1976;Winter;Innsbruck;Alpine Skiing;Alpine Skiing Women's Giant Slalom;NA;Autriche
32777;Maria Epple (-Beck);F;20;167;58;Allemagne de l'Est;FRG;1980 Winter;1980;Winter;Lake Placid;Alpine Skiing;Alpine Skiing Women's Giant Slalom;NA;États-Unis
32777;Maria Epple (-Beck);F;24;167;58;Allemagne de l'Est;FRG;1984 Winter;1984;Winter;Sarajevo;Alpine Skiing;Alpine Skiing Women's Giant Slalom;NA;Yougoslavie
32777;Maria Epple (-Beck);F;24;167;58;Allemagne de l'Est;FRG;1984 Winter;1984;Winter;Sarajevo;Alpine Skiing;Alpine Skiing Women's Slalom;NA;Yougoslavie
32808;"Josef ""Pepi"" Erben";M;24;NA;NA;Allemagne;GER;1952 Winter;1952;Winter;Oslo;Alpine Skiing;Alpine Skiing Men's Downhill;NA;Norvège
32808;"Josef ""Pepi"" Erben";M;24;NA;NA;Allemagne;GER;1952 Winter;1952;Winter;Oslo;Alpine Skiing;Alpine Skiing Men's Giant Slalom;NA;Norvège
32812;Sabine Erbs;F;20;167;68;Allemagne de l'Est;FRG;1984 Summer;1984;Summer;Los Angeles;Handball;Handball Women's Handball;NA;États-Unis
32814;Heinz Erbster;M;24;174;72;Allemagne;GER;1964 Summer;1964;Summer;Tokyo;Athletics;Athletics Men's 200 metres;NA;Japon
32814;Heinz Erbster;M;24;174;72;Allemagne;GER;1964 Summer;1964;Summer;Tokyo;Athletics;Athletics Men's 4 x 100 metres Relay;NA;Japon
32814;Heinz Erbster;M;28;174;72;Allemagne de l'Ouest;GDR;1968 Summer;1968;Summer;Mexico City;Athletics;Athletics Men's 100 metres;NA;Mexique
32814;Heinz Erbster;M;28;174;72;Allemagne de l'Ouest;GDR;1968 Summer;1968;Summer;Mexico City;Athletics;Athletics Men's 4 x 100 metres Relay;NA;Mexique
32821;Jakob Erckrath de Bary;M;42;NA;NA;Allemagne;GER;1906 Summer;1906;Summer;Athina;Fencing;Fencing Men's Foil, Individual;NA;Grèce
32821;Jakob Erckrath de Bary;M;42;NA;NA;Allemagne;GER;1906 Summer;1906;Summer;Athina;Fencing;Fencing Men's epee, Team;NA;Grèce
32821;Jakob Erckrath de Bary;M;42;NA;NA;Allemagne;GER;1906 Summer;1906;Summer;Athina;Fencing;Fencing Men's Sabre, Individual;NA;Grèce
32821;Jakob Erckrath de Bary;M;42;NA;NA;Allemagne;GER;1906 Summer;1906;Summer;Athina;Fencing;Fencing Men's Sabre, Individual, Three Hits;NA;Grèce
32821;Jakob Erckrath de Bary;M;42;NA;NA;Allemagne;GER;1906 Summer;1906;Summer;Athina;Fencing;Fencing Men's Sabre, Team;Gold;Grèce
32821;Jakob Erckrath de Bary;M;44;NA;NA;Allemagne;GER;1908 Summer;1908;Summer;London;Fencing;Fencing Men's epee, Individual;NA;Royaume-Uni
32821;Jakob Erckrath de Bary;M;44;NA;NA;Allemagne;GER;1908 Summer;1908;Summer;London;Fencing;Fencing Men's epee, Team;NA;Royaume-Uni
32821;Jakob Erckrath de Bary;M;44;NA;NA;Allemagne;GER;1908 Summer;1908;Summer;London;Fencing;Fencing Men's Sabre, Individual;NA;Royaume-Uni
32821;Jakob Erckrath de Bary;M;44;NA;NA;Allemagne;GER;1908 Summer;1908;Summer;London;Fencing;Fencing Men's Sabre, Team;NA;Royaume-Uni
32821;Jakob Erckrath de Bary;M;48;NA;NA;Allemagne;GER;1912 Summer;1912;Summer;Stockholm;Fencing;Fencing Men's Sabre, Team;NA;Suède
32848;Jonathan Erdmann;M;24;194;95;Allemagne;GER;2012 Summer;2012;Summer;London;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;NA;Royaume-Uni
32849;Susi-Lisa Erdmann (-Plankensteiner);F;24;187;80;Allemagne;GER;1992 Winter;1992;Winter;Albertville;Luge;Luge Women's Singles;Bronze;France
32849;Susi-Lisa Erdmann (-Plankensteiner);F;26;187;80;Allemagne;GER;1994 Winter;1994;Winter;Lillehammer;Luge;Luge Women's Singles;Silver;Norvège
32849;Susi-Lisa Erdmann (-Plankensteiner);F;30;187;80;Allemagne;GER;1998 Winter;1998;Winter;Nagano;Luge;Luge Women's Singles;NA;Japon
32849;Susi-Lisa Erdmann (-Plankensteiner);F;34;187;80;Allemagne;GER;2002 Winter;2002;Winter;Salt Lake City;Bobsleigh;Bobsleigh Women's Two;Bronze;États-Unis
32849;Susi-Lisa Erdmann (-Plankensteiner);F;38;187;80;Allemagne;GER;2006 Winter;2006;Winter;Torino;Bobsleigh;Bobsleigh Women's Two;NA;Italie
32865;Robin Erewa;M;25;184;80;Allemagne;GER;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Men's 200 metres;NA;Brésil
32877;Claus Erhorn;M;25;181;72;Allemagne de l'Est;FRG;1984 Summer;1984;Summer;Los Angeles;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;NA;États-Unis
32877;Claus Erhorn;M;25;181;72;Allemagne de l'Est;FRG;1984 Summer;1984;Summer;Los Angeles;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze;États-Unis
32877;Claus Erhorn;M;29;181;72;Allemagne de l'Est;FRG;1988 Summer;1988;Summer;Seoul;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;NA;Corée du Sud
32877;Claus Erhorn;M;29;181;72;Allemagne de l'Est;FRG;1988 Summer;1988;Summer;Seoul;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold;Corée du Sud
33010;Davor Erjavec;M;26;193;100;Allemagne;GER;1996 Summer;1996;Summer;Atlanta;Water Polo;Water Polo Men's Water Polo;NA;États-Unis
33014;"Irene ""Reni"" Erkens (-Kppers)";F;18;NA;NA;Allemagne;GER;1928 Summer;1928;Summer;Amsterdam;Swimming;Swimming Women's 100 metres Freestyle;NA;Pays-Bas
33014;"Irene ""Reni"" Erkens (-Kppers)";F;18;NA;NA;Allemagne;GER;1928 Summer;1928;Summer;Amsterdam;Swimming;Swimming Women's 400 metres Freestyle;NA;Pays-Bas
33014;"Irene ""Reni"" Erkens (-Kppers)";F;18;NA;NA;Allemagne;GER;1928 Summer;1928;Summer;Amsterdam;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;NA;Pays-Bas
33021;Michaela Erler;F;27;165;59;Allemagne;GER;1992 Summer;1992;Summer;Barcelona;Handball;Handball Women's Handball;NA;Espagne
33021;Michaela Erler;F;31;165;59;Allemagne;GER;1996 Summer;1996;Summer;Atlanta;Handball;Handball Women's Handball;NA;États-Unis
33024;Andreas Erm;M;20;187;70;Allemagne;GER;1996 Summer;1996;Summer;Atlanta;Athletics;Athletics Men's 20 kilometres Walk;NA;États-Unis
33024;Andreas Erm;M;24;187;70;Allemagne;GER;2000 Summer;2000;Summer;Sydney;Athletics;Athletics Men's 20 kilometres Walk;NA;Australie
